city,state,Marijuana,Cocaine,Heroin,Meth,marijuana diff,marijuana rank,cocaine diff,cocaine rank,heroin diff,heroin rank,meth diff,meth rank
Washington,DC,0.593,0.151,0.023,0.051,0,0,0,0,0,0,0,0
New Orleans,LA,0.594,0.153,0.026,0.049,0.001,1,0.002,1,0.003,11,0.002,1
Atlanta,GA,0.605,0.153,0.025,0.054,0.012,11,0.002,2,0.002,8,0.003,2
Detroit,MI,0.587,0.155,0.028,0.047,0.006,5,0.004,3,0.005,23,0.004,3
Baltimore,MD,0.598,0.160,0.029,0.055,0.005,3,0.009,5,0.006,30,0.004,4
Miami,FL,0.559,0.146,0.014,0.060,0.034,26,0.005,4,0.009,42,0.009,5
Memphis,TN,0.613,0.171,0.031,0.074,0.02,19,0.02,7,0.008,36,0.023,6
Philadelphia,PA,0.599,0.179,0.028,0.085,0.006,6,0.028,9,0.005,24,0.034,7
San Francisco,CA,0.546,0.162,0.019,0.089,0.047,36,0.011,6,0.004,20,0.038,8
Oakland,CA,0.581,0.173,0.020,0.091,0.012,12,0.022,8,0.003,12,0.04,9
Seattle,WA,0.602,0.180,0.022,0.092,0.009,9,0.029,11,0.001,1,0.041,10
Jacksonville,FL,0.618,0.189,0.026,0.095,0.025,22,0.038,16,0.003,14,0.044,11
New York,NY,0.578,0.179,0.020,0.098,0.015,14,0.028,10,0.003,13,0.047,12
El Paso,TX,0.570,0.185,0.012,0.099,0.023,21,0.034,14,0.011,45,0.048,13
Chicago,IL,0.608,0.185,0.022,0.100,0.015,13,0.034,13,0.001,2,0.049,14
Boston,MA,0.613,0.186,0.025,0.104,0.02,18,0.035,15,0.002,9,0.053,15
Virginia Beach,VA,0.615,0.194,0.025,0.106,0.022,20,0.043,21,0.002,10,0.055,16
Milwaukee,WI,0.624,0.197,0.028,0.106,0.031,24,0.046,24,0.005,25,0.055,17
Charlotte,NC,0.628,0.193,0.029,0.109,0.035,29,0.042,20,0.006,31,0.058,18
Kansas City,MO,0.631,0.201,0.031,0.109,0.038,30,0.05,26,0.008,38,0.058,19
Sacramento,CA,0.583,0.191,0.020,0.110,0.01,10,0.04,18,0.003,15,0.059,20
Houston,TX,0.609,0.191,0.019,0.112,0.016,16,0.04,19,0.004,21,0.061,21
San Antonio,TX,0.595,0.195,0.015,0.112,0.002,2,0.044,22,0.008,37,0.061,22
San Jose,CA,0.552,0.183,0.016,0.113,0.041,32,0.032,12,0.007,32,0.062,23
Raleigh,NC,0.638,0.190,0.030,0.114,0.045,35,0.039,17,0.007,33,0.063,24
Columbus,OH,0.638,0.201,0.033,0.115,0.045,34,0.05,27,0.01,44,0.064,25
San Diego,CA,0.598,0.195,0.020,0.117,0.005,4,0.044,23,0.003,16,0.066,26
Albuquerque,NM,0.613,0.204,0.018,0.117,0.02,17,0.053,30,0.005,26,0.066,27
Nashville,TN,0.642,0.203,0.032,0.119,0.049,40,0.052,29,0.009,43,0.068,28
Austin,TX,0.638,0.200,0.020,0.120,0.045,33,0.049,25,0.003,17,0.069,29
Dallas,TX,0.632,0.202,0.022,0.121,0.039,31,0.051,28,0.001,3,0.07,30
Indianapolis,IN,0.646,0.211,0.034,0.124,0.053,44,0.06,36,0.011,46,0.073,31
Fort Worth,TX,0.627,0.209,0.024,0.126,0.034,27,0.058,33,0.001,4,0.075,32
Portland,OR,0.642,0.213,0.028,0.126,0.049,41,0.062,38,0.005,28,0.075,33
Long Beach,CA,0.602,0.208,0.018,0.129,0.009,8,0.057,32,0.005,27,0.078,34
Minneapolis,MN,0.648,0.210,0.031,0.129,0.055,45,0.059,34,0.008,39,0.078,35
Denver,CO,0.640,0.212,0.024,0.131,0.047,38,0.061,37,0.001,5,0.08,36
Colorado Springs,CO,0.640,0.218,0.026,0.131,0.047,37,0.067,41,0.003,18,0.08,37
Los Angeles,CA,0.601,0.207,0.016,0.133,0.008,7,0.056,31,0.007,34,0.082,38
Tucson,AZ,0.627,0.218,0.021,0.134,0.034,28,0.067,40,0.002,7,0.083,39
Arlington,TX,0.626,0.211,0.027,0.134,0.033,25,0.06,35,0.004,22,0.083,40
Wichita,KS,0.644,0.218,0.030,0.134,0.051,43,0.067,42,0.007,35,0.083,41
Tulsa,OK,0.649,0.218,0.031,0.134,0.056,46,0.067,43,0.008,40,0.083,42
Las Vegas,NV,0.621,0.219,0.026,0.135,0.028,23,0.068,44,0.003,19,0.084,43
Fresno,CA,0.609,0.218,0.018,0.138,0.016,15,0.067,39,0.005,29,0.087,44
Oklahoma City,OK,0.641,0.220,0.031,0.138,0.048,39,0.069,45,0.008,41,0.087,45
Omaha,NE,0.662,0.222,0.034,0.140,0.069,48,0.071,46,0.011,47,0.089,46
Mesa,AZ,0.650,0.225,0.270,0.141,0.057,47,0.074,47,0.247,48,0.09,47
Phoenix,AZ,0.644,0.233,0.024,0.151,0.051,42,0.082,48,0.001,6,0.1,48
