"Notes","Occurrence County","Occurrence County Code","Multiple Cause of death","Multiple Cause of death Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval
,"Autauga County, AL","01001","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",12,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Baldwin County, AL","01003","Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified","X41",55,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Baldwin County, AL","01003","Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified","X42",140,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Baldwin County, AL","01003","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",159,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Baldwin County, AL","01003","Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X64",21,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Barbour County, AL","01005","Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified","X42",22,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Barbour County, AL","01005","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",15,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Bibb County, AL","01007","Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified","X42",20,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Bibb County, AL","01007","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",20,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Blount County, AL","01009","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",36,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Bullock County, AL","01011","Mental and behavioural disorders due to use of tobacco, unspecified mental and behavioural disorder","F17.9",26,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Bullock County, AL","01011","Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use","F19.1",15,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Bullock County, AL","01011","Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified","X42",37,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Butler County, AL","01013","Mental and behavioural disorders due to use of tobacco, unspecified mental and behavioural disorder","F17.9",10,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Butler County, AL","01013","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",10,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Calhoun County, AL","01015","Mental and behavioural disorders due to use of tobacco, unspecified mental and behavioural disorder","F17.9",14,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Calhoun County, AL","01015","Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use","F19.1",19,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Calhoun County, AL","01015","Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, unspecified mental and behavioural disorder","F19.9",83,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Calhoun County, AL","01015","Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified","X41",14,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Calhoun County, AL","01015","Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified","X42",91,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Calhoun County, AL","01015","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",128,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Cherokee County, AL","01019","Mental and behavioural disorders due to use of other stimulants, including caffeine, unspecified mental and behavioural disorder","F15.9",10,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Cherokee County, AL","01019","Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use","F19.1",14,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Cherokee County, AL","01019","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",16,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Chilton County, AL","01021","Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use","F19.1",12,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Chilton County, AL","01021","Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified","X41",11,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Chilton County, AL","01021","Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified","X42",23,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Chilton County, AL","01021","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",18,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Coffee County, AL","01031","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",14,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Colbert County, AL","01033","Mental and behavioural disorders due to use of opioids, unspecified mental and behavioural disorder","F11.9",22,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Colbert County, AL","01033","Mental and behavioural disorders due to use of other stimulants, including caffeine, unspecified mental and behavioural disorder","F15.9",32,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Colbert County, AL","01033","Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use","F19.1",12,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Colbert County, AL","01033","Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified","X41",14,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Colbert County, AL","01033","Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified","X42",28,Not Applicable,Not Applicable,Not Applicable,Not Applicable
