"event","date","city","state","killed","injured","total","day","month","year","yearmonth","source","citystate"
2888610,2024-04-22,"Petersburg","Virginia",5,0,5,"Monday","04","2024","2024-04","Gun Violence Archive","Virginia-Petersburg"
2887313,2024-04-22,"Yukon","Oklahoma",0,4,4,"Monday","04","2024","2024-04","Gun Violence Archive","Oklahoma-Yukon"
2886674,2024-04-21,"Oak Forest","Illinois",3,1,4,"Sunday","04","2024","2024-04","Gun Violence Archive","Illinois-Oak Forest"
2885854,2024-04-20,"Memphis","Tennessee",7,2,9,"Saturday","04","2024","2024-04","Gun Violence Archive","Tennessee-Memphis"
2884585,2024-04-19,"Washington","District of Columbia",4,0,4,"Friday","04","2024","2024-04","Gun Violence Archive","District of Columbia-Washington"
2884570,2024-04-19,"Greenbelt","Maryland",5,0,5,"Friday","04","2024","2024-04","Gun Violence Archive","Maryland-Greenbelt"
2884446,2024-04-18,"Thibodaux","Louisiana",4,0,4,"Thursday","04","2024","2024-04","Gun Violence Archive","Louisiana-Thibodaux"
2881822,2024-04-16,"Bronx","New York",3,1,4,"Tuesday","04","2024","2024-04","Gun Violence Archive","New York-Bronx"
2881676,2024-04-16,"Clinton","North Carolina",3,1,4,"Tuesday","04","2024","2024-04","Gun Violence Archive","North Carolina-Clinton"
2879450,2024-04-14,"Dallas","Texas",8,1,9,"Sunday","04","2024","2024-04","Gun Violence Archive","Texas-Dallas"
2879964,2024-04-14,"Richmond","Virginia",4,1,5,"Sunday","04","2024","2024-04","Gun Violence Archive","Virginia-Richmond"
2879792,2024-04-14,"Nashville","Tennessee",6,0,6,"Sunday","04","2024","2024-04","Gun Violence Archive","Tennessee-Nashville"
2880226,2024-04-14,"New Orleans","Louisiana",11,1,12,"Sunday","04","2024","2024-04","Gun Violence Archive","Louisiana-New Orleans"
2880126,2024-04-14,"Hopkinsville","Kentucky",4,0,4,"Sunday","04","2024","2024-04","Gun Violence Archive","Kentucky-Hopkinsville"
2879189,2024-04-13,"Chicago","Illinois",10,1,11,"Saturday","04","2024","2024-04","Gun Violence Archive","Illinois-Chicago"
2879659,2024-04-13,"Wynne","Arkansas",9,1,10,"Saturday","04","2024","2024-04","Gun Violence Archive","Arkansas-Wynne"
2880895,2024-04-13,"Albany","Georgia",4,0,4,"Saturday","04","2024","2024-04","Gun Violence Archive","Georgia-Albany"
2880957,2024-04-13,"Coldwater","Mississippi",3,1,4,"Saturday","04","2024","2024-04","Gun Violence Archive","Mississippi-Coldwater"
2877499,2024-04-11,"Orlando","Florida",3,1,4,"Thursday","04","2024","2024-04","Gun Violence Archive","Florida-Orlando"
2876444,2024-04-10,"Washington","District of Columbia",5,1,6,"Wednesday","04","2024","2024-04","Gun Violence Archive","District of Columbia-Washington"
2873416,2024-04-07,"San Antonio","Texas",6,0,6,"Sunday","04","2024","2024-04","Gun Violence Archive","Texas-San Antonio"
2873629,2024-04-07,"Washington","District of Columbia",4,0,4,"Sunday","04","2024","2024-04","Gun Violence Archive","District of Columbia-Washington"
2873450,2024-04-07,"Oklahoma City","Oklahoma",3,1,4,"Sunday","04","2024","2024-04","Gun Violence Archive","Oklahoma-Oklahoma City"
2872613,2024-04-06,"Miami (Doral)","Florida",7,1,8,"Saturday","04","2024","2024-04","Gun Violence Archive","Florida-Miami (Doral)"
2872754,2024-04-05,"Palm Beach Gardens (Riviera Beach)","Florida",4,0,4,"Friday","04","2024","2024-04","Gun Violence Archive","Florida-Palm Beach Gardens (Riviera Beach)"
2790854,2023-12-31,"Hawthorne","California",5,1,6,"Sunday","12","2023","2023-12","Gun Violence Archive","California-Hawthorne"
2791696,2023-12-31,"Little River","South Carolina",2,2,4,"Sunday","12","2023","2023-12","Gun Violence Archive","South Carolina-Little River"
2791341,2023-12-31,"Charlotte","North Carolina",5,0,5,"Sunday","12","2023","2023-12","Gun Violence Archive","North Carolina-Charlotte"
2790081,2023-12-30,"Denver","Colorado",2,2,4,"Saturday","12","2023","2023-12","Gun Violence Archive","Colorado-Denver"
2790633,2023-12-30,"Beaumont","Texas",4,1,5,"Saturday","12","2023","2023-12","Gun Violence Archive","Texas-Beaumont"
2790559,2023-12-30,"Gainesville","Florida",4,0,4,"Saturday","12","2023","2023-12","Gun Violence Archive","Florida-Gainesville"
2786002,2023-12-24,"Orlando (Lockhart)","Florida",3,2,5,"Sunday","12","2023","2023-12","Gun Violence Archive","Florida-Orlando (Lockhart)"
2786444,2023-12-24,"Colorado Springs","Colorado",3,1,4,"Sunday","12","2023","2023-12","Gun Violence Archive","Colorado-Colorado Springs"
2786038,2023-12-24,"Houston","Texas",4,1,5,"Sunday","12","2023","2023-12","Gun Violence Archive","Texas-Houston"
2786401,2023-12-23,"Seattle","Washington",5,0,5,"Saturday","12","2023","2023-12","Gun Violence Archive","Washington-Seattle"
2786253,2023-12-23,"Fort Worth","Texas",4,1,5,"Saturday","12","2023","2023-12","Gun Violence Archive","Texas-Fort Worth"
2785646,2023-12-23,"Gwynn Oak (Woodlawn)","Maryland",4,1,5,"Saturday","12","2023","2023-12","Gun Violence Archive","Maryland-Gwynn Oak (Woodlawn)"
2784986,2023-12-22,"Corona (Queens)","New York",3,1,4,"Friday","12","2023","2023-12","Gun Violence Archive","New York-Corona (Queens)"
2784291,2023-12-21,"Washington","District of Columbia",2,2,4,"Thursday","12","2023","2023-12","Gun Violence Archive","District of Columbia-Washington"
2783287,2023-12-20,"Philadelphia","Pennsylvania",3,1,4,"Wednesday","12","2023","2023-12","Gun Violence Archive","Pennsylvania-Philadelphia"
2780660,2023-12-17,"Ridgeland","South Carolina",2,2,4,"Sunday","12","2023","2023-12","Gun Violence Archive","South Carolina-Ridgeland"
2781391,2023-12-17,"Gainestown","Alabama",4,0,4,"Sunday","12","2023","2023-12","Gun Violence Archive","Alabama-Gainestown"
2779489,2023-12-15,"Memphis","Tennessee",3,2,5,"Friday","12","2023","2023-12","Gun Violence Archive","Tennessee-Memphis"
2779676,2023-12-15,"Los Angeles","California",4,1,5,"Friday","12","2023","2023-12","Gun Violence Archive","California-Los Angeles"
