"Notes","Occurrence County","Occurrence County Code","Multiple Cause of death","Multiple Cause of death Code",Deaths,Population,Crude Rate,% of Total Deaths
,"Autauga County, AL","01001","Mental and behavioural disorders due to use of tobacco, unspecified mental and behavioural disorder","F17.9",90,Not Applicable,Not Applicable,0.0%
,"Baldwin County, AL","01003","Mental and behavioural disorders due to use of tobacco, unspecified mental and behavioural disorder","F17.9",1266,Not Applicable,Not Applicable,0.1%
,"Baldwin County, AL","01003","Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use","F19.1",15,Not Applicable,Not Applicable,0.0%
,"Baldwin County, AL","01003","Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified","X41",41,Not Applicable,Not Applicable,0.0%
,"Baldwin County, AL","01003","Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified","X42",90,Not Applicable,Not Applicable,0.0%
,"Baldwin County, AL","01003","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",110,Not Applicable,Not Applicable,0.0%
,"Baldwin County, AL","01003","Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X64",13,Not Applicable,Not Applicable,0.0%
,"Barbour County, AL","01005","Mental and behavioural disorders due to use of tobacco, unspecified mental and behavioural disorder","F17.9",62,Not Applicable,Not Applicable,0.0%
,"Barbour County, AL","01005","Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified","X42",19,Not Applicable,Not Applicable,0.0%
,"Barbour County, AL","01005","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",15,Not Applicable,Not Applicable,0.0%
,"Bibb County, AL","01007","Mental and behavioural disorders due to use of tobacco, unspecified mental and behavioural disorder","F17.9",58,Not Applicable,Not Applicable,0.0%
,"Bibb County, AL","01007","Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified","X42",18,Not Applicable,Not Applicable,0.0%
,"Bibb County, AL","01007","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",14,Not Applicable,Not Applicable,0.0%
,"Blount County, AL","01009","Mental and behavioural disorders due to use of tobacco, unspecified mental and behavioural disorder","F17.9",94,Not Applicable,Not Applicable,0.0%
,"Blount County, AL","01009","Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use","F19.1",21,Not Applicable,Not Applicable,0.0%
,"Blount County, AL","01009","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",28,Not Applicable,Not Applicable,0.0%
,"Bullock County, AL","01011","Mental and behavioural disorders due to use of tobacco, unspecified mental and behavioural disorder","F17.9",40,Not Applicable,Not Applicable,0.0%
,"Bullock County, AL","01011","Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified","X42",34,Not Applicable,Not Applicable,0.0%
,"Butler County, AL","01013","Mental and behavioural disorders due to use of tobacco, unspecified mental and behavioural disorder","F17.9",47,Not Applicable,Not Applicable,0.0%
,"Calhoun County, AL","01015","Mental and behavioural disorders due to use of tobacco, unspecified mental and behavioural disorder","F17.9",277,Not Applicable,Not Applicable,0.0%
,"Calhoun County, AL","01015","Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use","F19.1",29,Not Applicable,Not Applicable,0.0%
,"Calhoun County, AL","01015","Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, unspecified mental and behavioural disorder","F19.9",80,Not Applicable,Not Applicable,0.0%
,"Calhoun County, AL","01015","Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified","X41",10,Not Applicable,Not Applicable,0.0%
,"Calhoun County, AL","01015","Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified","X42",79,Not Applicable,Not Applicable,0.0%
,"Calhoun County, AL","01015","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",85,Not Applicable,Not Applicable,0.0%
,"Chambers County, AL","01017","Mental and behavioural disorders due to use of tobacco, unspecified mental and behavioural disorder","F17.9",59,Not Applicable,Not Applicable,0.0%
,"Cherokee County, AL","01019","Mental and behavioural disorders due to use of other stimulants, including caffeine, unspecified mental and behavioural disorder","F15.9",10,Not Applicable,Not Applicable,0.0%
,"Cherokee County, AL","01019","Mental and behavioural disorders due to use of tobacco, unspecified mental and behavioural disorder","F17.9",117,Not Applicable,Not Applicable,0.0%
,"Cherokee County, AL","01019","Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use","F19.1",19,Not Applicable,Not Applicable,0.0%
,"Cherokee County, AL","01019","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",12,Not Applicable,Not Applicable,0.0%
,"Chilton County, AL","01021","Mental and behavioural disorders due to use of tobacco, unspecified mental and behavioural disorder","F17.9",41,Not Applicable,Not Applicable,0.0%
,"Chilton County, AL","01021","Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use","F19.1",13,Not Applicable,Not Applicable,0.0%
,"Chilton County, AL","01021","Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified","X42",17,Not Applicable,Not Applicable,0.0%
,"Chilton County, AL","01021","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",11,Not Applicable,Not Applicable,0.0%
,"Choctaw County, AL","01023","Mental and behavioural disorders due to use of tobacco, unspecified mental and behavioural disorder","F17.9",15,Not Applicable,Not Applicable,0.0%
,"Clarke County, AL","01025","Mental and behavioural disorders due to use of tobacco, unspecified mental and behavioural disorder","F17.9",14,Not Applicable,Not Applicable,0.0%
,"Clay County, AL","01027","Mental and behavioural disorders due to use of tobacco, unspecified mental and behavioural disorder","F17.9",20,Not Applicable,Not Applicable,0.0%
,"Cleburne County, AL","01029","Mental and behavioural disorders due to use of tobacco, unspecified mental and behavioural disorder","F17.9",14,Not Applicable,Not Applicable,0.0%
,"Coffee County, AL","01031","Mental and behavioural disorders due to use of tobacco, unspecified mental and behavioural disorder","F17.9",133,Not Applicable,Not Applicable,0.0%
,"Coffee County, AL","01031","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",12,Not Applicable,Not Applicable,0.0%
,"Colbert County, AL","01033","Mental and behavioural disorders due to use of opioids, unspecified mental and behavioural disorder","F11.9",18,Not Applicable,Not Applicable,0.0%
,"Colbert County, AL","01033","Mental and behavioural disorders due to use of other stimulants, including caffeine, unspecified mental and behavioural disorder","F15.9",28,Not Applicable,Not Applicable,0.0%
,"Colbert County, AL","01033","Mental and behavioural disorders due to use of tobacco, unspecified mental and behavioural disorder","F17.9",216,Not Applicable,Not Applicable,0.0%
,"Colbert County, AL","01033","Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified","X41",10,Not Applicable,Not Applicable,0.0%
,"Colbert County, AL","01033","Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified","X42",18,Not Applicable,Not Applicable,0.0%
,"Colbert County, AL","01033","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",40,Not Applicable,Not Applicable,0.0%
,"Conecuh County, AL","01035","Mental and behavioural disorders due to use of tobacco, unspecified mental and behavioural disorder","F17.9",58,Not Applicable,Not Applicable,0.0%
